frame_id,class,confidence,x1,y1,x2,y2
0,Table,0.52,53,403,476,720
0,Clothing,0.26,0,567,172,720
1,Table,0.47,52,404,475,720
2,Table,0.47,45,404,476,720
3,Table,0.44,44,404,476,720
4,Table,0.44,46,405,476,720
5,Table,0.46,48,406,477,720
6,Table,0.44,52,405,476,720
7,Table,0.47,61,406,476,720
8,Table,0.48,54,405,477,720
9,Table,0.48,57,405,473,720
10,Table,0.51,49,405,478,720
11,Table,0.52,43,405,478,720
12,Table,0.53,43,405,477,720
13,Table,0.55,41,405,477,720
14,Table,0.54,42,406,478,720
15,Table,0.51,34,406,477,720
16,Table,0.6,15,406,477,720
17,Table,0.61,14,406,478,720
18,Table,0.62,15,405,478,720
19,Table,0.59,11,403,478,720
20,Table,0.54,14,405,479,720
21,Table,0.59,9,401,477,720
22,Table,0.59,8,403,477,720
22,Office building,0.28,0,0,480,719
23,Table,0.58,8,404,477,720
23,Office building,0.29,0,0,480,719
23,Person,0.27,0,417,150,720
24,Table,0.56,9,404,477,720
24,Person,0.28,0,417,150,720
25,Table,0.59,8,404,476,720
25,Person,0.27,0,418,150,720
26,Table,0.58,6,403,476,720
26,Person,0.28,0,418,149,720
27,Table,0.58,6,402,476,720
27,Person,0.27,0,418,149,720
28,Table,0.54,5,402,476,720
28,Person,0.28,0,418,149,720
29,Table,0.49,11,402,477,720
29,Person,0.27,0,418,148,720
30,Table,0.57,13,401,476,720
30,Person,0.26,0,419,148,720
31,Table,0.59,13,401,476,720
31,Person,0.27,0,419,148,720
32,Table,0.54,16,401,476,720
32,Person,0.29,0,418,149,720
33,Table,0.54,13,400,476,720
34,Table,0.52,13,400,476,720
34,Person,0.26,0,418,148,720
35,Table,0.53,13,401,477,720
35,Person,0.26,0,418,148,720
36,Table,0.5,14,401,477,720
36,Person,0.27,0,418,148,720
37,Table,0.51,16,402,477,720
38,Table,0.47,19,403,477,720
39,Table,0.5,16,404,476,720
40,Table,0.47,15,403,476,720
41,Table,0.49,13,404,476,720
41,Person,0.27,0,417,148,720
42,Table,0.48,11,404,476,720
42,Person,0.27,0,417,149,720
43,Table,0.48,14,403,476,720
44,Table,0.49,13,403,477,720
45,Table,0.45,14,401,477,720
46,Table,0.49,13,401,477,720
47,Table,0.47,13,401,477,720
47,Person,0.26,0,416,150,720
48,Table,0.49,12,401,476,720
48,Person,0.26,0,416,151,720
49,Table,0.48,13,401,476,720
49,Person,0.27,0,416,150,720
50,Table,0.51,11,401,477,720
50,Person,0.26,0,417,150,720
51,Table,0.5,11,402,476,720
51,Person,0.27,0,416,149,720
52,Table,0.48,10,401,475,720
52,Person,0.26,0,416,149,720
53,Table,0.43,9,402,475,720
54,Table,0.44,9,402,476,720
55,Table,0.52,9,402,476,720
56,Table,0.51,12,401,476,720
57,Table,0.48,12,401,476,720
58,Table,0.49,12,401,476,720
59,Table,0.49,10,400,476,720
60,Table,0.45,14,402,474,720
61,Table,0.49,12,402,474,720
62,Table,0.48,15,402,474,720
63,Table,0.53,13,402,474,720
64,Table,0.48,13,402,472,720
65,Table,0.48,14,402,473,720
66,Table,0.42,36,402,455,716
67,Table,0.41,27,402,458,720
68,Table,0.42,28,401,457,720
69,Table,0.38,29,401,455,719
70,Table,0.47,13,402,473,720
71,Table,0.47,12,401,473,720
72,Table,0.48,15,401,473,720
73,Table,0.52,15,401,473,720
74,Table,0.54,15,401,473,720
75,Table,0.53,15,401,475,720
75,Person,0.26,0,416,153,720
76,Table,0.61,15,402,475,720
76,Person,0.26,0,416,152,720
77,Table,0.63,18,402,476,720
77,Person,0.26,0,415,152,720
78,Table,0.61,18,402,475,720
78,Person,0.26,0,415,153,720
79,Table,0.57,26,401,474,720
80,Table,0.54,26,401,474,720
81,Table,0.54,24,400,474,720
82,Table,0.57,22,401,474,720
83,Table,0.58,25,401,473,720
84,Table,0.59,25,401,474,720
85,Table,0.57,23,401,474,720
86,Table,0.58,26,402,473,720
87,Table,0.55,28,401,473,720
88,Table,0.53,30,402,471,720
89,Table,0.54,29,402,471,720
90,Table,0.54,24,402,474,720
91,Table,0.55,27,402,473,720
92,Table,0.57,25,403,474,720
93,Table,0.57,22,402,475,720
94,Table,0.55,25,402,474,720
95,Table,0.56,30,403,474,720
96,Table,0.55,31,403,473,720
97,Table,0.57,32,403,472,720
98,Table,0.57,36,403,472,720
99,Table,0.59,35,403,473,720
100,Table,0.58,37,403,472,720
101,Table,0.6,38,403,471,720
102,Table,0.62,35,403,475,720
103,Table,0.62,37,403,474,720
104,Table,0.6,34,403,474,720
105,Table,0.6,35,403,473,720
106,Table,0.6,33,403,473,720
107,Table,0.59,39,403,473,720
108,Table,0.56,39,402,470,720
109,Table,0.57,34,403,471,720
110,Table,0.62,33,404,474,720
111,Table,0.61,33,403,474,720
112,Table,0.59,34,403,473,720
113,Table,0.58,37,403,472,720
114,Table,0.6,31,403,472,720
115,Table,0.6,30,403,472,720
115,Person,0.26,0,413,157,720
116,Table,0.63,31,403,473,720
117,Table,0.63,30,403,473,720
118,Table,0.62,32,403,473,720
119,Table,0.62,32,403,473,720
119,Person,0.26,0,412,158,720
120,Table,0.57,35,403,473,720
121,Table,0.58,33,403,473,720
122,Table,0.59,31,403,473,720
122,Person,0.26,0,413,155,720
123,Table,0.58,32,404,474,720
123,Person,0.26,0,413,156,720
124,Table,0.58,30,404,474,720
125,Table,0.59,31,403,474,720
126,Table,0.61,28,403,474,720
126,Clothing,0.26,0,570,163,719
127,Table,0.6,27,403,474,720
128,Table,0.6,30,403,476,720
129,Table,0.6,32,403,475,720
130,Table,0.59,32,403,475,720
131,Table,0.57,39,402,470,720
132,Table,0.58,30,403,475,720
133,Table,0.59,32,403,475,720
134,Table,0.6,34,403,475,720
135,Table,0.6,36,403,473,720
136,Table,0.62,34,403,475,720
137,Table,0.61,34,403,476,720
138,Table,0.6,35,403,475,720
139,Table,0.58,36,402,474,720
139,Person,0.26,0,412,159,720
140,Table,0.58,35,403,474,720
140,Person,0.26,0,412,159,720
141,Table,0.59,35,403,474,720
142,Table,0.59,34,402,474,720
143,Table,0.59,33,402,474,720
144,Table,0.58,34,402,474,720
145,Table,0.57,30,401,475,720
145,Clothing,0.3,0,566,165,719
145,Person,0.26,0,412,162,719
146,Table,0.55,30,401,475,720
147,Table,0.55,32,402,475,720
148,Table,0.57,34,402,475,720
149,Table,0.54,44,400,472,720
149,Clothing,0.29,0,567,166,719
149,Person,0.26,0,412,163,720
150,Table,0.57,38,401,474,720
150,Clothing,0.28,0,565,167,719
150,Person,0.27,0,412,164,719
